campaign_id,variant,family,qubits,depth,rows,success_rows,success_rate_pct,median_tvd,median_jsd,median_wall_s,median_simulate_s
speed-sweep,cpu_statevector,ansatz,20,6,10,10,100.0,,,0.5108,0.3406
speed-sweep,cpu_statevector,ansatz,22,6,10,10,100.0,,,0.891,0.4398
speed-sweep,cpu_statevector,ansatz,24,6,10,10,100.0,,,2.6854,1.093
speed-sweep,cpu_statevector,ansatz,26,6,10,10,100.0,,,10.7774,4.4762
speed-sweep,cpu_statevector,ansatz,28,6,10,10,100.0,,,43.9096,17.1625
speed-sweep,cpu_statevector,ghz,20,1,5,5,100.0,,,0.2086,0.0424
speed-sweep,cpu_statevector,ghz,22,1,5,5,100.0,,,0.496,0.078
speed-sweep,cpu_statevector,ghz,24,1,5,5,100.0,,,1.7509,0.1905
speed-sweep,cpu_statevector,ghz,26,1,5,5,100.0,,,6.8728,0.7287
speed-sweep,cpu_statevector,ghz,28,1,5,5,100.0,,,29.3113,3.0631
speed-sweep,cpu_statevector,random,20,8,10,10,100.0,,,0.4481,0.2741
speed-sweep,cpu_statevector,random,22,8,10,10,100.0,,,0.7273,0.2963
speed-sweep,cpu_statevector,random,24,8,10,10,100.0,,,2.4884,0.8598
speed-sweep,cpu_statevector,random,26,8,10,10,100.0,,,9.6252,3.2405
speed-sweep,cpu_statevector,random,28,8,10,10,100.0,,,39.0291,12.7828
speed-sweep,cpu_statevector,trotter,20,12,10,10,100.0,,,0.787,0.6143
speed-sweep,cpu_statevector,trotter,22,12,10,10,100.0,,,1.1798,0.7423
speed-sweep,cpu_statevector,trotter,24,12,10,10,100.0,,,3.6792,2.0912
speed-sweep,cpu_statevector,trotter,26,12,10,10,100.0,,,14.6529,8.4685
speed-sweep,cpu_statevector,trotter,28,12,10,10,100.0,,,58.4248,33.3945
speed-sweep,gpu_custatevec,ansatz,20,6,10,10,100.0,,,0.2334,0.0568
speed-sweep,gpu_custatevec,ansatz,22,6,10,10,100.0,,,0.6498,0.2125
speed-sweep,gpu_custatevec,ansatz,24,6,10,10,100.0,,,2.741,1.1929
speed-sweep,gpu_custatevec,ansatz,26,6,10,10,100.0,,,10.3416,4.256
speed-sweep,gpu_custatevec,ansatz,28,6,10,10,100.0,,,39.3685,12.5383
speed-sweep,gpu_custatevec,ghz,20,1,5,5,100.0,,,0.1478,0.0187
speed-sweep,gpu_custatevec,ghz,22,1,5,5,100.0,,,0.496,0.0619
speed-sweep,gpu_custatevec,ghz,24,1,5,5,100.0,,,1.81,0.3114
speed-sweep,gpu_custatevec,ghz,26,1,5,5,100.0,,,7.6847,1.5453
speed-sweep,gpu_custatevec,ghz,28,1,5,5,100.0,,,29.1516,4.7712
speed-sweep,gpu_custatevec,random,20,8,10,10,100.0,,,0.2146,0.0404
speed-sweep,gpu_custatevec,random,22,8,10,10,100.0,,,0.5792,0.149
speed-sweep,gpu_custatevec,random,24,8,10,10,100.0,,,2.4107,0.8968
speed-sweep,gpu_custatevec,random,26,8,10,10,100.0,,,9.4534,3.3188
speed-sweep,gpu_custatevec,random,28,8,10,10,100.0,,,35.0866,9.4001
speed-sweep,gpu_custatevec,trotter,20,12,10,10,100.0,,,0.288,0.1021
speed-sweep,gpu_custatevec,trotter,22,12,10,10,100.0,,,0.8124,0.3748
speed-sweep,gpu_custatevec,trotter,24,12,10,10,100.0,,,3.5054,1.9438
speed-sweep,gpu_custatevec,trotter,26,12,10,10,100.0,,,12.0852,6.0122
speed-sweep,gpu_custatevec,trotter,28,12,10,10,100.0,,,49.3896,21.6806
speed-sweep,gpu_thrust,ansatz,20,6,10,10,100.0,,,0.2538,0.0762
speed-sweep,gpu_thrust,ansatz,22,6,10,10,100.0,,,0.7489,0.3163
speed-sweep,gpu_thrust,ansatz,24,6,10,10,100.0,,,3.2175,1.7048
speed-sweep,gpu_thrust,ansatz,26,6,10,10,100.0,,,11.4651,5.4145
speed-sweep,gpu_thrust,ansatz,28,6,10,10,100.0,,,47.351,19.442
speed-sweep,gpu_thrust,ghz,20,1,5,5,100.0,,,0.1489,0.0171
speed-sweep,gpu_thrust,ghz,22,1,5,5,100.0,,,0.5064,0.0779
speed-sweep,gpu_thrust,ghz,24,1,5,5,100.0,,,1.8496,0.4136
speed-sweep,gpu_thrust,ghz,26,1,5,5,100.0,,,7.9072,1.9195
speed-sweep,gpu_thrust,ghz,28,1,5,5,100.0,,,30.0837,5.6661
