campaign_id,profile_name,variant,device,precision,family,rows,success_rows,success_rate_pct,stable_max_qubits,highest_success_qubits,first_failure_qubits,highest_tested_qubits,tested_qubits,median_simulate_s,median_wall_s,median_speedup_vs_cpu,median_tvd,peak_rss_mb,peak_gpu_mem_mb
speed-sweep,cuquantum-speed-sweep-wsl,cpu_statevector,CPU,double,ansatz,50,50,100.0,28,28,,28,20 22 24 26 28,1.093,2.6854,1.0,,14675.738,576.617
speed-sweep,cuquantum-speed-sweep-wsl,cpu_statevector,CPU,double,ghz,25,25,100.0,28,28,,28,20 22 24 26 28,0.1905,1.7509,1.0,,14674.988,576.617
speed-sweep,cuquantum-speed-sweep-wsl,cpu_statevector,CPU,double,random,50,50,100.0,28,28,,28,20 22 24 26 28,0.8598,2.4884,1.0,,14675.758,576.617
speed-sweep,cuquantum-speed-sweep-wsl,cpu_statevector,CPU,double,trotter,50,50,100.0,28,28,,28,20 22 24 26 28,2.0912,3.6792,1.0,,14679.242,576.617
speed-sweep,cuquantum-speed-sweep-wsl,gpu_custatevec,GPU,double,ansatz,50,50,100.0,28,28,,28,20 22 24 26 28,1.1929,2.741,1.3688,,14797.371,675.258
speed-sweep,cuquantum-speed-sweep-wsl,gpu_custatevec,GPU,double,ghz,25,25,100.0,28,28,,28,20 22 24 26 28,0.3114,1.81,0.6609,,14794.016,675.258
speed-sweep,cuquantum-speed-sweep-wsl,gpu_custatevec,GPU,double,random,50,50,100.0,28,28,,28,20 22 24 26 28,0.8968,2.4107,1.3599,,14803.242,675.258
speed-sweep,cuquantum-speed-sweep-wsl,gpu_custatevec,GPU,double,trotter,50,50,100.0,28,28,,28,20 22 24 26 28,1.9438,3.5054,1.5403,,14798.285,675.258
speed-sweep,cuquantum-speed-sweep-wsl,gpu_thrust,GPU,double,ansatz,50,50,100.0,28,28,,28,20 22 24 26 28,1.7048,3.2175,0.8915,,14780.879,675.258
speed-sweep,cuquantum-speed-sweep-wsl,gpu_thrust,GPU,double,ghz,25,25,100.0,28,28,,28,20 22 24 26 28,0.4136,1.8496,0.5507,,14779.336,675.258
